Brain network by Wahbi
375.0	375.0	375.0	box dimensions in microns
25	25	25	number of tissue points in x,y,z directions
100.	outer bound distance
100.	max. segment length
5	nodsegm, max. allowed number of segments per node
557	total number of segments
name	type	from	to	diam.	rel. flow	hem.
1	5	1	10	5.63738	0.7914274627743744	0.45
2	5	1	312	6.2077800000000005	0.6802107326706794	0.45
3	5	2	276	6.39576	0.40426645752060675	0.45
4	5	2	292	6.6022	0.7875874711020883	0.45
5	5	3	59	6.1551	0.9775635512991095	0.45
6	5	4	162	6.09054	0.37824354163228247	0.45
7	5	4	265	5.82808	0.661572308743119	0.45
8	5	5	145	5.15922	0.2219967993844685	0.45
9	5	6	78	6.766	0.5442357617186598	0.45
10	5	6	106	5.741820000000001	0.0887950676052504	0.45
11	5	7	71	4.791060000000001	0.11276435806709838	0.45
12	5	7	323	7.398680000000001	0.022765046865297827	0.45
13	5	8	271	7.640300000000001	0.4940221705215651	0.45
14	5	9	218	5.14978	0.11488641292717301	0.45
15	5	9	240	7.32512	0.8763029530304446	0.45
16	5	10	135	5.63738	0.7914274627743744	0.45
17	5	11	319	6.47298	2.4603586454736646	0.45
18	5	12	158	4.7048000000000005	0.01727348109576076	0.45
19	5	13	378	5.7677	0.3805342542767519	0.45
20	5	13	379	5.5953800000000005	1.9405807415524177	0.45
21	5	14	324	6.89424	0.4946729118881577	0.45
22	5	15	326	4.22278	0.012899858140812641	0.45
23	5	15	398	7.21652	0.20977522566190684	0.45
24	5	16	166	6.2211	0.5637654222726451	0.45
25	5	17	342	7.52184	0.5840225419114071	0.45
26	5	18	133	7.24718	0.7783240576966398	0.45
27	5	19	149	7.0099	1.9347064411783732	0.45
28	5	19	331	5.86474	0.13585776388440987	0.45
29	5	20	110	7.30922	1.9404134062825846	0.45
30	5	21	254	8.70016	1.0981653986038868	0.45
31	5	22	311	6.160679999999999	0.13961754730287043	0.45
32	5	23	36	4.65244	0.0601221611900281	0.45
33	5	23	82	6.55876	0.01734320121364064	0.45
34	5	24	275	6.41388	0.010766878732512775	0.45
35	5	25	313	7.35796	0.3999866408546729	0.45
36	5	26	59	4.634659999999999	0.39936272642940585	0.45
37	5	26	241	7.19186	1.053287254971451	0.45
38	5	27	4	7.82426	1.0398158503754031	0.45
39	5	27	381	8.3239	0.9330088283020334	0.45
40	5	28	255	7.09516	1.1175809284921738	0.45
