Brain network of an arteriole column
375	375	1500	box dimensions in microns
25	25	100	number of tissue points in x,y,z directions
100.	outer bound distance
100.	max. segment length
5	nodsegm, max. allowed number of segments per node
2255	total number of segments
name	type	from	to	diam.	rel. flow	hem.
1	5	1	10	5.63738	0.033829499680520354	0.45
2	5	1	312	6.2077800000000005	0.013512587435980812	0.45
3	5	2	430	7.6288599999999995	0.17566797160908634	0.45
4	5	3	162	7.31922	0.15604954819507422	0.45
5	5	3	209	6.66898	0.19163377565514056	0.45
6	5	4	27	7.82426	0.27924458046702655	0.45
7	5	5	212	5.15922	0.0818259123297528	0.45
8	5	6	397	5.8167	0.13362017407123514	0.45
9	5	7	408	6.55552	0.27720808463804053	0.45
10	5	8	31	7.640300000000001	0.07629236048843775	0.45
11	5	9	240	7.32512	0.4465085975353022	0.45
12	5	9	442	4.94726	0.12275854309159445	0.45
13	5	10	135	5.63738	0.03382949968052021	0.45
14	5	11	264	6.47298	0.02972053874820242	0.45
15	5	12	144	4.7048000000000005	0.05569576857083312	0.45
16	5	13	257	7.69926	0.03484039487886524	0.45
17	5	13	379	5.5953800000000005	0.002407534597748624	0.45
18	5	14	190	6.89424	0.020891495804685994	0.45
19	5	15	398	7.21652	0.0909944946557007	0.45
20	5	16	392	7.925720000000001	0.022823503057284384	0.45
21	5	16	413	7.48156	0.4232667081961723	0.45
22	5	17	272	8.39514	0.03946447593938276	0.45
23	5	17	342	7.52184	0.02033432626310535	0.45
24	5	18	133	7.24718	0.12824208216261618	0.45
25	5	19	149	7.0099	4.5049173951988655	0.45
26	5	19	331	5.86474	2.957514129049074	0.45
27	5	19	366	7.5397	6.65981248746241	0.45
28	5	20	71	6.4431199999999995	0.1481780031974886	0.45
29	5	20	136	5.88962	0.14715042011190568	0.45
30	5	21	49	7.840280000000001	0.9940062929706244	0.45
31	5	22	301	7.16558	2.7095537984423506	0.45
32	5	22	311	6.160679999999999	0.5201969293940449	0.45
33	5	23	36	4.65244	0.00457301488480457	0.45
34	5	23	164	6.2736	0.01939860923468881	0.45
35	5	24	275	6.41388	0.009171872376843944	0.45
36	5	25	256	7.04058	6.715842689300613	0.45
37	5	25	332	7.073720000000001	3.7274809631903354	0.45
38	5	26	59	4.634659999999999	0.38727576587050105	0.45
39	5	26	241	7.19186	1.1318605325152633	0.45
40	5	27	293	7.1303	1.272649287433413	0.45
41	5	28	127	5.7412600000000005	0.07914326572925395	0.45
42	5	29	103	3.76072	0.013844940590768193	0.45
43	5	30	272	6.715879999999999	0.07840235696647198	0.45
44	5	31	200	5.54446	0.03790393169285647	0.45
45	5	31	201	4.8728	0.03838842879558114	0.45
46	5	32	391	5.77216	0.015265658277637081	0.45
47	5	32	399	6.70476	0.11000090524926343	0.45
48	5	33	254	7.84202	1.4383778306633068	0.45
49	5	34	119	8.873579999999999	0.19526630156990304	0.45
50	5	34	130	7.16694	0.06290531755310302	0.45
51	5	35	147	6.77922	0.3784987595419814	0.45
52	5	35	197	5.64644	0.2133433333974482	0.45
53	5	36	269	6.87468	0.0420461233445135	0.45
54	5	37	445	6.0567400000000005	0.37155136199677613	0.45
55	5	38	83	7.22764	0.044804734213945395	0.45
56	5	38	424	5.12564	0.09287003032407416	0.45
57	5	39	218	4.50272	0.38271347892280894	0.45
58	5	39	426	6.1814800000000005	2.3112329615588716	0.45
59	5	40	86	4.330220000000001	0.09068385090803507	0.45
60	5	40	351	6.89162	0.4612234809001943	0.45
61	5	41	148	4.42476	0.20783542107727868	0.45
62	5	42	202	7.78068	0.7432041155616218	0.45
63	5	43	368	5.11598	0.06401487662249022	0.45
64	5	43	369	7.42762	0.5523919748796553	0.45
65	5	44	364	6.15482	0.3188453767782582	0.45
66	5	45	358	6.458	0.30708450144019056	0.45
67	5	46	239	7.6609	0.4922092927461255	0.45
68	5	46	270	6.692279999999999	0.06384704428211377	0.45
69	5	47	117	6.116619999999999	0.1325092443540649	0.45
70	5	47	361	8.268500000000001	0.2412575198415607	0.45
71	5	48	227	5.871499999999999	0.09068385090803485	0.45
72	5	49	167	7.5571	0.25828037141275734	0.45
73	5	49	168	5.278560000000001	0.7357259215578682	0.45
74	5	50	35	7.61396	0.5918420929394298	0.45
75	5	51	59	4.89358	0.007749645096216629	0.45
76	5	51	306	9.3134	0.017580441335229083	0.45
77	5	52	319	6.47298	0.029720538748202838	0.45
78	5	52	440	10.26372	0.07275699351796247	0.45
79	5	53	222	6.66534	0.019325491974008686	0.45
80	5	54	113	8.18414	1.0019414432345002	0.45
81	5	55	247	7.80002	0.058252140079975034	0.45
82	5	56	339	3.50958	0.05042181270185372	0.45
83	5	56	346	4.7066	0.06361264663547234	0.45
84	5	57	108	4.7066	0.06361264663547299	0.45
85	5	58	338	6.47218	0.11403445933732627	0.45
86	5	58	443	5.27948	1.2450248993389132	0.45
87	5	59	1	6.88862	0.04734208711650147	0.45
88	5	59	3	6.1551	0.34768332385021633	0.45
89	5	60	69	5.33022	2.1109507483680146	0.45
90	5	60	80	5.78372	2.2881318234243153	0.45
91	5	61	365	6.15482	0.31884537677825925	0.45
92	5	62	24	6.41388	0.0091718723768438	0.45
93	5	63	131	7.70114	0.02062894572323426	0.45
94	5	64	28	4.6038	0.06418408609050871	0.45
95	5	65	224	5.82544	0.16421703429813722	0.45
96	5	66	329	8.21704	3.342127807749876	0.45
97	5	66	367	8.137599999999999	3.2297507278363873	0.45
98	5	67	405	7.1452800000000005	0.1394624784839727	0.45
99	5	68	171	7.2586	0.0024511165693869266	0.45
100	5	68	297	5.78104	0.0769528134844378	0.45
101	5	69	406	8.66478	5.838431711558351	0.45
102	5	70	378	5.7677	0.03724792947661381	0.45
103	5	70	390	4.68332	0.0047981938678997174	0.45
104	5	71	7	4.791060000000001	0.22114355791821813	0.45
105	5	72	156	6.95406	4.0898767077437506e-05	0.45
106	5	72	370	6.20594	0.002641084371836473	0.45
107	5	73	237	7.24718	0.1282420821626154	0.45
108	5	74	21	5.73352	0.5834447019318838	0.45
109	5	75	314	5.11718	0.09253256904716316	0.45
110	5	75	446	5.8975800000000005	1.1523002171789147	0.45
111	5	76	15	9.7903	0.08921676967534087	0.45
112	5	77	36	6.05036	0.037473108459708804	0.45
113	5	77	100	6.62086	0.007331625754236388	0.45
114	5	78	6	6.766	0.1126042644799052	0.45
115	5	78	250	7.283799999999999	0.11689196948972644	0.45
116	5	79	129	6.07848	0.002257787744930204	0.45
117	5	79	303	5.864199999999999	0.06702673227518607	0.45
118	5	80	263	6.87596	2.00193881778881	0.45
119	5	80	273	5.66716	0.28619300563550326	0.45
120	5	81	178	5.50312	0.10982990109697134	0.45
121	5	81	307	6.44122	0.1656018430597959	0.45
122	5	82	23	6.55876	0.023971624119493384	0.45
123	5	82	195	4.4421	0.05455200287954235	0.45
124	5	83	77	7.22764	0.0448047342139453	0.45
125	5	84	157	4.98686	1.4519832593411899	0.45
126	5	85	65	8.29954	0.07708659435630887	0.45
127	5	86	372	6.939139999999999	0.02639639520107062	0.45
128	5	86	373	6.9707799999999995	0.06428745570696463	0.45
129	5	87	217	8.86256	0.011305497384760948	0.45
130	5	88	45	6.458	0.30708450144019045	0.45
131	5	89	155	4.41722	0.05356035299986437	0.45
132	5	90	302	8.22868	0.0594142911345798	0.45
133	5	90	412	7.39118	0.32869397174238063	0.45
